algorithm,n,tipo,dominio,muestra,time_ms,memory_kb
quicksort,100000,ascendente,D1,b,0.344522,0
stdsort,100000,ascendente,D1,b,0.544299,0
mergesort,100000,ascendente,D1,c,5.2365,390
quicksort,100000,ascendente,D1,c,0.379376,0
stdsort,100000,ascendente,D1,c,0.545198,0
mergesort,100000,ascendente,D7,a,5.1693,390
quicksort,100000,ascendente,D7,a,3.30286,0
stdsort,100000,ascendente,D7,a,0.683795,0
mergesort,100000,ascendente,D7,b,5.28373,390
quicksort,100000,ascendente,D7,b,3.23859,0
stdsort,100000,ascendente,D7,b,0.718919,0
mergesort,100000,ascendente,D7,c,5.14751,390
quicksort,100000,ascendente,D7,c,3.20383,0
stdsort,100000,ascendente,D7,c,0.761511,0
mergesort,100000,descendente,D1,a,5.05089,390
quicksort,100000,descendente,D1,a,0.404382,0
stdsort,100000,descendente,D1,a,0.65291,0
mergesort,100000,descendente,D1,b,5.28038,390
quicksort,100000,descendente,D1,b,0.384441,0
stdsort,100000,descendente,D1,b,0.52953,0
mergesort,100000,descendente,D1,c,5.1128,390
quicksort,100000,descendente,D1,c,0.4157,0
stdsort,100000,descendente,D1,c,0.546284,0
mergesort,100000,descendente,D7,a,5.27654,390
quicksort,100000,descendente,D7,a,3.22969,0
stdsort,100000,descendente,D7,a,0.489001,0
mergesort,100000,descendente,D7,b,4.98651,390
quicksort,100000,descendente,D7,b,3.18311,0
stdsort,100000,descendente,D7,b,0.484449,0
mergesort,100000,descendente,D7,c,4.91821,390
quicksort,100000,descendente,D7,c,3.15165,0
stdsort,100000,descendente,D7,c,0.497176,0
mergesort,100000,aleatorio,D1,a,7.0899,390
quicksort,100000,aleatorio,D1,a,1.44514,0
stdsort,100000,aleatorio,D1,a,1.67708,0
mergesort,100000,aleatorio,D1,b,7.11618,390
quicksort,100000,aleatorio,D1,b,1.38302,0
stdsort,100000,aleatorio,D1,b,1.69674,0
mergesort,100000,aleatorio,D1,c,7.20586,390
quicksort,100000,aleatorio,D1,c,1.26649,0
stdsort,100000,aleatorio,D1,c,1.63389,0
mergesort,100000,aleatorio,D7,a,10.3555,390
quicksort,100000,aleatorio,D7,a,7.85506,0
stdsort,100000,aleatorio,D7,a,5.05482,0
mergesort,100000,aleatorio,D7,b,10.6805,390
quicksort,100000,aleatorio,D7,b,7.981,0
stdsort,100000,aleatorio,D7,b,4.82707,0
mergesort,100000,aleatorio,D7,c,10.3624,390
quicksort,100000,aleatorio,D7,c,7.74551,0
stdsort,100000,aleatorio,D7,c,4.91775,0
mergesort,10000000,ascendente,D1,a,550.886,39062
quicksort,10000000,ascendente,D1,a,40.7643,0
stdsort,10000000,ascendente,D1,a,75.5779,0
mergesort,10000000,ascendente,D1,b,512.029,39062
quicksort,10000000,ascendente,D1,b,37.765,0
stdsort,10000000,ascendente,D1,b,76.5114,0
mergesort,10000000,ascendente,D1,c,498.262,39062
quicksort,10000000,ascendente,D1,c,39.2435,0
stdsort,10000000,ascendente,D1,c,76.6341,0
mergesort,10000000,ascendente,D7,a,506.793,39062
quicksort,10000000,ascendente,D7,a,385.654,0
stdsort,10000000,ascendente,D7,a,119.162,0
mergesort,10000000,ascendente,D7,b,504.119,39062
quicksort,10000000,ascendente,D7,b,392.565,0
stdsort,10000000,ascendente,D7,b,127.289,0
mergesort,10000000,ascendente,D7,c,507.782,39062
quicksort,10000000,ascendente,D7,c,385.728,0
stdsort,10000000,ascendente,D7,c,136.893,0
mergesort,10000000,descendente,D1,a,544.075,39062
quicksort,10000000,descendente,D1,a,39.8899,0
stdsort,10000000,descendente,D1,a,78.8712,0
mergesort,10000000,descendente,D1,b,507.321,39062
quicksort,10000000,descendente,D1,b,39.7741,0
stdsort,10000000,descendente,D1,b,91.8784,0
mergesort,10000000,descendente,D1,c,532.967,39062
quicksort,10000000,descendente,D1,c,49.1912,0
stdsort,10000000,descendente,D1,c,77.0417,0
mergesort,10000000,descendente,D7,a,540.913,39062
quicksort,10000000,descendente,D7,a,389.022,0
stdsort,10000000,descendente,D7,a,104.749,0
mergesort,10000000,descendente,D7,b,539.864,39062
quicksort,10000000,descendente,D7,b,385.903,0
stdsort,10000000,descendente,D7,b,103.178,0
mergesort,10000000,descendente,D7,c,552.587,39062
quicksort,10000000,descendente,D7,c,432.507,0
stdsort,10000000,descendente,D7,c,115.243,0
mergesort,10000000,aleatorio,D1,a,742.336,39062
quicksort,10000000,aleatorio,D1,a,126.225,0
stdsort,10000000,aleatorio,D1,a,174.329,0
mergesort,10000000,aleatorio,D1,b,728.345,39062
quicksort,10000000,aleatorio,D1,b,123.127,0
stdsort,10000000,aleatorio,D1,b,176.605,0
mergesort,10000000,aleatorio,D1,c,718.458,39062
quicksort,10000000,aleatorio,D1,c,134.392,0
stdsort,10000000,aleatorio,D1,c,169.904,0
mergesort,10000000,aleatorio,D7,a,1235.92,39062
quicksort,10000000,aleatorio,D7,a,960.271,0
stdsort,10000000,aleatorio,D7,a,629.79,0
mergesort,10000000,aleatorio,D7,b,1219.43,39062
quicksort,10000000,aleatorio,D7,b,969.47,0
stdsort,10000000,aleatorio,D7,b,647.009,0
mergesort,10000000,aleatorio,D7,c,1237.01,39062
quicksort,10000000,aleatorio,D7,c,1000.81,0
stdsort,10000000,aleatorio,D7,c,643.993,0
